5.1,3.5,1.4,0.2,Iris-setosa,,Longitud_Sepalo,Ancho_Sepalo,Longitud_Petalo,Ancho_Petalo,,,,,,,,,,,,,,
4.9,3,1.4,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.7,3.2,1.3,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.6,3.1,1.5,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3.6,1.4,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.4,3.9,1.7,0.4,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.6,3.4,1.4,0.3,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3.4,1.5,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.4,2.9,1.4,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.4,3.7,1.5,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.8,3.4,1.6,0.2,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.8,3,1.4,0.1,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.3,3,1.1,0.1,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.8,4,1.2,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.7,4.4,1.5,0.4,Iris-setosa,,Mediano,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.4,3.9,1.3,0.4,Iris-setosa,,Mediano,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.1,3.5,1.4,0.3,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.7,3.8,1.7,0.3,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.1,3.8,1.5,0.3,Iris-setosa,,Mediano,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.4,3.4,1.7,0.2,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.1,3.7,1.5,0.4,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.6,3.6,1,0.2,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.1,3.3,1.7,0.5,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.8,3.4,1.9,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3,1.6,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3.4,1.6,0.4,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.2,3.5,1.5,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.2,3.4,1.4,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.7,3.2,1.6,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.8,3.1,1.6,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.4,3.4,1.5,0.4,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.2,4.1,1.5,0.1,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.5,4.2,1.4,0.2,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,,Chico,Grande,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3.2,1.2,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.5,3.5,1.3,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
4.4,3,1.3,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5.1,3.4,1.5,0.2,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
5,3.5,1.3,0.3,Iris-setosa,,Chico,Mediano,Chico,Chico,Iris-setosa,,,,,,,,,,,,,
